,date,quantity,price
0,2018-8-1,0,0.0
1,2018-8-2,0,0.0
2,2018-8-3,0,0.0
3,2018-8-4,0,0.0
4,2018-8-5,0,0.0
5,2018-8-6,0,0.0
6,2018-8-7,0,0.0
7,2018-8-8,0,0.0
8,2018-8-9,0,0.0
9,2018-8-10,0,0.0
10,2018-8-11,0,0.0
11,2018-8-12,0,0.0
12,2018-8-13,3,800.75
13,2018-8-14,1559,98.33
14,2018-8-15,2239,79.4
15,2018-8-16,2951,56.66
16,2018-8-17,3042,49.45
17,2018-8-18,4844,40.14
18,2018-8-19,4913,52.11
19,2018-8-20,3323,39.41
20,2018-8-21,5767,36.81
21,2018-8-22,5245,35.94
22,2018-8-23,7188,43.48
23,2018-8-24,8145,38.76
24,2018-8-25,10341,37.04
25,2018-8-26,11791,29.31
26,2018-8-27,10779,33.52
27,2018-8-28,13150,34.16
28,2018-8-29,12460,33.83
29,2018-8-30,0,0.0
30,2018-8-31,2583,36.19
31,2018-9-1,4538,38.03
32,2018-9-2,4134,34.88
33,2018-9-3,7298,45.02
34,2018-9-4,7420,44.0
35,2018-9-5,11888,36.2
36,2018-9-6,11488,42.66
37,2018-9-7,13393,43.14
38,2018-9-8,13006,34.33
39,2018-9-9,11660,32.65
40,2018-9-10,8882,38.05
41,2018-9-11,7711,36.46
42,2018-9-12,7796,35.94
43,2018-9-13,8056,38.39
44,2018-9-14,10173,37.56
45,2018-9-15,8804,36.53
46,2018-9-16,8935,35.4
47,2018-9-17,7901,37.47
48,2018-9-18,5588,40.35
49,2018-9-19,12253,44.88
50,2018-9-20,13232,44.58
51,2018-9-21,11246,42.27
52,2018-9-22,9623,38.88
53,2018-9-23,10245,33.0
54,2018-9-24,10510,38.86
55,2018-9-25,7362,36.34
56,2018-9-26,15360,34.61
57,2018-9-27,16254,30.78
58,2018-9-28,16307,37.31
59,2018-9-29,14291,33.93
60,2018-9-30,15820,34.49
61,2018-10-1,14695,33.59
62,2018-10-2,13649,31.79
63,2018-10-3,11222,31.67
64,2018-10-4,10293,33.95
65,2018-10-5,10440,32.88
66,2018-10-6,7933,31.09
67,2018-10-7,8159,35.69
68,2018-10-8,8926,29.69
69,2018-10-9,8889,29.91
70,2018-10-10,6617,35.77
71,2018-10-11,6708,56.4
72,2018-10-12,11972,36.83
73,2018-10-13,11414,37.91
74,2018-10-14,6023,38.66
75,2018-10-15,2967,30.03
76,2018-10-16,3074,36.29
77,2018-10-17,4940,39.4
78,2018-10-18,8198,39.7
79,2018-10-19,7218,39.6
80,2018-10-20,6909,39.31
81,2018-10-21,9941,39.47
82,2018-10-22,9772,39.56
83,2018-10-23,5415,35.1
84,2018-10-24,5822,33.88
85,2018-10-25,7902,30.25
86,2018-10-26,10871,34.43
87,2018-10-27,13874,29.9
88,2018-10-28,11136,27.04
89,2018-10-29,13993,25.58
90,2018-10-30,12371,25.39
91,2018-10-31,15154,21.9
92,2018-11-1,18320,27.88
93,2018-11-2,22584,23.61
94,2018-11-3,22180,19.28
95,2018-11-4,19308,17.91
96,2018-11-5,30717,28.71
97,2018-11-6,30133,28.81
98,2018-11-7,20976,26.52
99,2018-11-8,32056,29.0
100,2018-11-9,25435,28.97
101,2018-11-10,22075,31.27
102,2018-11-11,23115,29.09
103,2018-11-12,20918,29.53
104,2018-11-13,22904,27.41
105,2018-11-14,20421,20.0
106,2018-11-15,15139,22.0
107,2018-11-16,14930,31.15
108,2018-11-17,12325,34.22
109,2018-11-18,7696,34.27
110,2018-11-19,7970,48.19
111,2018-11-20,14704,38.66
112,2018-11-21,14185,37.33
113,2018-11-22,14047,37.72
114,2018-11-23,13454,34.59
115,2018-11-24,14262,34.17
116,2018-11-25,14291,33.98
117,2018-11-26,22383,29.4
118,2018-11-27,21691,29.32
119,2018-11-28,24578,26.0
120,2018-11-29,22401,25.93
121,2018-11-30,21719,33.48
122,2018-12-1,22155,33.28
123,2018-12-2,16904,32.53
124,2018-12-3,26463,32.65
125,2018-12-4,25206,31.72
126,2018-12-5,25023,31.55
127,2018-12-6,23956,38.84
128,2018-12-7,30102,38.85
129,2018-12-8,29978,37.75
130,2018-12-9,28565,34.19
131,2018-12-10,33930,48.96
132,2018-12-11,35380,48.47
133,2018-12-12,41768,37.22
134,2018-12-13,18234,37.39
135,2018-12-14,15835,36.19
136,2018-12-15,11240,86.95
137,2018-12-16,63405,68.88
138,2018-12-17,63467,68.88
139,2018-12-18,63633,65.87
140,2018-12-19,12874,63.53
141,2018-12-20,64857,66.93
142,2018-12-21,65172,66.17
143,2018-12-22,65535,49.95
144,2018-12-23,14457,36.26
145,2018-12-24,65535,34.79
146,2018-12-25,65535,34.56
147,2018-12-26,65535,32.88
148,2018-12-27,65535,33.18
149,2018-12-28,65535,30.07
150,2018-12-29,65535,24.88
151,2018-12-30,65535,24.9
152,2018-12-31,65535,24.88
153,2019-1-1,65535,21.74
154,2019-1-2,65535,21.76
155,2019-1-3,65535,21.18
156,2019-1-4,65535,21.09
157,2019-1-5,60944,20.59
158,2019-1-6,59455,20.99
159,2019-1-7,53006,20.88
160,2019-1-8,46896,20.26
161,2019-1-9,38174,18.29
162,2019-1-10,35443,18.09
163,2019-1-11,43174,18.27
164,2019-1-12,50854,17.82
165,2019-1-13,48666,17.82
166,2019-1-14,51628,17.2
167,2019-1-15,49524,17.07
168,2019-1-16,50656,17.1
169,2019-1-17,53389,16.95
170,2019-1-18,51721,16.91
171,2019-1-19,23125,16.92
172,2019-1-20,51298,29.57
173,2019-1-21,50200,27.05
174,2019-1-22,48416,28.64
175,2019-1-23,46428,28.32
176,2019-1-24,50763,25.8
177,2019-1-25,27840,25.82
178,2019-1-26,38431,23.17
179,2019-1-27,46972,23.18
180,2019-1-28,40295,24.28
181,2019-1-29,29218,39.09
182,2019-1-30,18960,27.9
183,2019-1-31,19135,27.6
184,2019-2-1,27999,26.99
185,2019-2-2,28319,24.85
186,2019-2-3,37078,23.79
187,2019-2-4,41369,22.92
188,2019-2-5,40730,23.75
189,2019-2-6,50998,23.68
190,2019-2-7,52614,23.42
191,2019-2-8,17284,23.15
192,2019-2-9,12710,50.88
193,2019-2-10,27188,34.69
194,2019-2-11,28963,32.08
195,2019-2-12,27725,34.44
196,2019-2-13,28164,33.86
197,2019-2-14,28230,34.29
198,2019-2-15,34155,29.8
199,2019-2-16,29253,29.79
200,2019-2-17,29133,29.69
201,2019-2-18,28794,29.01
202,2019-2-19,29076,28.79
203,2019-2-20,25729,28.79
204,2019-2-21,21006,48.33
205,2019-2-22,27788,49.19
206,2019-2-23,27754,49.06
207,2019-2-24,27820,40.08
208,2019-2-25,27686,64.31
209,2019-2-26,35282,59.69
210,2019-2-27,40734,43.29
211,2019-2-28,43841,39.76
212,2019-3-1,44707,35.34
213,2019-3-2,46965,34.91
214,2019-3-3,43842,31.29
215,2019-3-4,47964,28.8
216,2019-3-5,48809,28.7
217,2019-3-6,44326,27.63
218,2019-3-7,48367,26.68
219,2019-3-8,22215,27.47
220,2019-3-9,21538,27.47
221,2019-3-10,20266,21.0
222,2019-3-11,19295,20.83
223,2019-3-12,19382,20.4
224,2019-3-13,16433,25.11
225,2019-3-14,14812,32.84
226,2019-3-15,10502,79.87
227,2019-3-16,16166,25.6
228,2019-3-17,17677,34.5
229,2019-3-18,16310,40.23
230,2019-3-19,14769,42.04
231,2019-3-20,14573,44.43
232,2019-3-21,14468,44.57
233,2019-3-22,12353,42.69
234,2019-3-23,12730,38.47
235,2019-3-24,13240,39.47
236,2019-3-25,14471,35.81
237,2019-3-26,14945,38.89
238,2019-3-27,15248,35.76
239,2019-3-28,14429,33.83
240,2019-3-29,13749,36.67
241,2019-3-30,12157,35.21
242,2019-3-31,14017,33.15
243,2019-4-1,15000,38.06
244,2019-4-2,15100,37.85
245,2019-4-3,14179,35.21
246,2019-4-4,16815,29.75
247,2019-4-5,16685,29.79
248,2019-4-6,18864,22.5
249,2019-4-7,20820,20.31
250,2019-4-8,11666,25.59
251,2019-4-9,17200,28.48
252,2019-4-10,17577,26.01
253,2019-4-11,16004,28.06
254,2019-4-12,15955,25.71
255,2019-4-13,15152,24.98
256,2019-4-14,14354,23.84
257,2019-4-15,20880,28.8
258,2019-4-16,20646,28.65
259,2019-4-17,16251,27.91
260,2019-4-18,18061,20.54
261,2019-4-19,11610,48.54
262,2019-4-20,21929,29.74
263,2019-4-21,20873,29.85
264,2019-4-22,19986,40.15
265,2019-4-23,21339,31.88
266,2019-4-24,25418,31.24
267,2019-4-25,20761,25.0
268,2019-4-26,21249,25.0
269,2019-4-27,12489,29.17
270,2019-4-28,14395,23.0
271,2019-4-29,21869,29.49
272,2019-4-30,26197,27.0
273,2019-5-1,23977,26.67
274,2019-5-2,12432,19.81
