,date,quantity,price
0,2018-8-1,0,0.0
1,2018-8-2,0,0.0
2,2018-8-3,0,0.0
3,2018-8-4,0,0.0
4,2018-8-5,0,0.0
5,2018-8-6,0,0.0
6,2018-8-7,0,0.0
7,2018-8-8,0,0.0
8,2018-8-9,0,0.0
9,2018-8-10,0,0.0
10,2018-8-11,0,0.0
11,2018-8-12,0,0.0
12,2018-8-13,67,833.14
13,2018-8-14,835,40.58
14,2018-8-15,381,83.65
15,2018-8-16,392,135.05
16,2018-8-17,492,163.88
17,2018-8-18,612,186.92
18,2018-8-19,761,188.21
19,2018-8-20,861,215.89
20,2018-8-21,758,200.71
21,2018-8-22,1294,507.64
22,2018-8-23,1684,411.02
23,2018-8-24,1811,206.99
24,2018-8-25,1682,204.46
25,2018-8-26,1720,283.7
26,2018-8-27,1289,319.25
27,2018-8-28,1356,319.48
28,2018-8-29,1182,480.84
29,2018-8-30,0,0.0
30,2018-8-31,2117,651.05
31,2018-9-1,2653,625.85
32,2018-9-2,3452,539.23
33,2018-9-3,1595,545.51
34,2018-9-4,2557,606.38
35,2018-9-5,3818,597.34
36,2018-9-6,2675,580.25
37,2018-9-7,3331,524.93
38,2018-9-8,2613,489.18
39,2018-9-9,3075,498.69
40,2018-9-10,2931,533.63
41,2018-9-11,2880,509.06
42,2018-9-12,2603,549.46
43,2018-9-13,3297,539.8
44,2018-9-14,3331,562.74
45,2018-9-15,3410,571.62
46,2018-9-16,1282,550.65
47,2018-9-17,1071,698.09
48,2018-9-18,1245,532.84
49,2018-9-19,1454,599.42
50,2018-9-20,1483,614.31
51,2018-9-21,1445,513.29
52,2018-9-22,2926,589.16
53,2018-9-23,2659,592.95
54,2018-9-24,3060,547.18
55,2018-9-25,3004,494.23
56,2018-9-26,3536,491.28
57,2018-9-27,4425,458.09
58,2018-9-28,4471,415.25
59,2018-9-29,4650,402.52
60,2018-9-30,4470,402.66
61,2018-10-1,4970,425.75
62,2018-10-2,4901,419.91
63,2018-10-3,4572,351.69
64,2018-10-4,5318,380.23
65,2018-10-5,6362,349.44
66,2018-10-6,6762,335.6
67,2018-10-7,6219,325.91
68,2018-10-8,7597,265.41
69,2018-10-9,7677,249.66
70,2018-10-10,5265,240.27
71,2018-10-11,5067,281.14
72,2018-10-12,4450,264.85
73,2018-10-13,4667,247.47
74,2018-10-14,4051,251.8
75,2018-10-15,2481,240.57
76,2018-10-16,3723,215.5
77,2018-10-17,3694,214.75
78,2018-10-18,4746,249.61
79,2018-10-19,4923,239.14
80,2018-10-20,4917,221.84
81,2018-10-21,6055,217.5
82,2018-10-22,6075,217.19
83,2018-10-23,4955,213.27
84,2018-10-24,3885,196.25
85,2018-10-25,3337,254.22
86,2018-10-26,3291,256.46
87,2018-10-27,4255,200.38
88,2018-10-28,3769,184.51
89,2018-10-29,4578,186.74
90,2018-10-30,3276,193.95
91,2018-10-31,4306,162.32
92,2018-11-1,3652,218.81
93,2018-11-2,3844,193.46
94,2018-11-3,2529,189.67
95,2018-11-4,3287,251.03
96,2018-11-5,3100,190.0
97,2018-11-6,2631,232.93
98,2018-11-7,2988,229.25
99,2018-11-8,3126,207.18
100,2018-11-9,3414,212.87
101,2018-11-10,3577,210.69
102,2018-11-11,3843,191.48
103,2018-11-12,6014,223.36
104,2018-11-13,6660,193.5
105,2018-11-14,6829,197.0
106,2018-11-15,6684,197.05
107,2018-11-16,4403,189.39
108,2018-11-17,3683,189.08
109,2018-11-18,3577,172.43
110,2018-11-19,5437,229.38
111,2018-11-20,8358,199.72
112,2018-11-21,8562,198.8
113,2018-11-22,8300,209.47
114,2018-11-23,8571,210.96
115,2018-11-24,8405,208.78
116,2018-11-25,10079,209.78
117,2018-11-26,9318,213.8
118,2018-11-27,8633,206.9
119,2018-11-28,9067,198.88
120,2018-11-29,6815,196.89
121,2018-11-30,9805,182.61
122,2018-12-1,11783,180.15
123,2018-12-2,11879,150.97
124,2018-12-3,8335,196.87
125,2018-12-4,9054,194.33
126,2018-12-5,12301,177.57
127,2018-12-6,14325,181.39
128,2018-12-7,14494,180.65
129,2018-12-8,13892,175.09
130,2018-12-9,13783,168.12
131,2018-12-10,12855,153.86
132,2018-12-11,14014,151.14
133,2018-12-12,11605,153.97
134,2018-12-13,8339,196.96
135,2018-12-14,7398,189.37
136,2018-12-15,8615,152.87
137,2018-12-16,10194,149.74
138,2018-12-17,7931,146.0
139,2018-12-18,6294,145.84
140,2018-12-19,3731,143.91
141,2018-12-20,8532,131.5
142,2018-12-21,8538,131.44
143,2018-12-22,7627,126.15
144,2018-12-23,7009,145.72
145,2018-12-24,11412,104.61
146,2018-12-25,12316,103.9
147,2018-12-26,8960,104.0
148,2018-12-27,6820,138.02
149,2018-12-28,6735,115.59
150,2018-12-29,11750,114.16
151,2018-12-30,11684,114.86
152,2018-12-31,9647,114.69
153,2019-1-1,8596,106.4
154,2019-1-2,8211,111.63
155,2019-1-3,6417,111.45
156,2019-1-4,6020,109.99
157,2019-1-5,5302,118.94
158,2019-1-6,6093,106.58
159,2019-1-7,6683,105.59
160,2019-1-8,2493,164.6
161,2019-1-9,5656,114.25
162,2019-1-10,6073,114.94
163,2019-1-11,7200,130.36
164,2019-1-12,7265,128.6
165,2019-1-13,13346,216.5
166,2019-1-14,13403,222.89
167,2019-1-15,8154,142.0
168,2019-1-16,6165,137.18
169,2019-1-17,7401,137.17
170,2019-1-18,7991,126.73
171,2019-1-19,8316,119.83
172,2019-1-20,11760,118.74
173,2019-1-21,10696,117.19
174,2019-1-22,8962,138.76
175,2019-1-23,10717,136.48
176,2019-1-24,9954,126.27
177,2019-1-25,7061,118.72
178,2019-1-26,6778,112.56
179,2019-1-27,11375,99.72
180,2019-1-28,12190,100.24
181,2019-1-29,11667,104.61
182,2019-1-30,10267,113.94
183,2019-1-31,9596,102.62
184,2019-2-1,10434,91.09
185,2019-2-2,10562,90.96
186,2019-2-3,8597,92.29
187,2019-2-4,11488,88.25
188,2019-2-5,11481,88.04
189,2019-2-6,12508,88.61
190,2019-2-7,15533,80.74
191,2019-2-8,16325,70.46
192,2019-2-9,14912,68.74
193,2019-2-10,13510,104.36
194,2019-2-11,14276,101.65
195,2019-2-12,11379,79.96
196,2019-2-13,12140,79.63
197,2019-2-14,13725,73.89
198,2019-2-15,13041,73.76
199,2019-2-16,10676,68.36
200,2019-2-17,10351,68.26
201,2019-2-18,10742,59.25
202,2019-2-19,10593,58.24
203,2019-2-20,11184,57.62
204,2019-2-21,8764,62.98
205,2019-2-22,9851,60.0
206,2019-2-23,9295,55.56
207,2019-2-24,8152,51.34
208,2019-2-25,16503,85.84
209,2019-2-26,16793,81.0
210,2019-2-27,14052,55.16
211,2019-2-28,8426,85.65
212,2019-3-1,9712,76.84
213,2019-3-2,11034,66.75
214,2019-3-3,7534,50.0
215,2019-3-4,12794,62.73
216,2019-3-5,13632,62.36
217,2019-3-6,8152,54.82
218,2019-3-7,4202,59.69
219,2019-3-8,12797,54.38
220,2019-3-9,13110,60.92
221,2019-3-10,13367,59.59
222,2019-3-11,11845,41.03
223,2019-3-12,19102,50.45
224,2019-3-13,18671,59.01
225,2019-3-14,14201,72.51
226,2019-3-15,10457,69.4
227,2019-3-16,17718,74.0
228,2019-3-17,15703,73.68
229,2019-3-18,11196,87.68
230,2019-3-19,11259,63.22
231,2019-3-20,6178,124.39
232,2019-3-21,6791,86.61
233,2019-3-22,9919,84.82
234,2019-3-23,9844,83.93
235,2019-3-24,9509,88.95
236,2019-3-25,8462,79.67
237,2019-3-26,9847,73.84
238,2019-3-27,9760,88.84
239,2019-3-28,5122,87.0
240,2019-3-29,7605,80.32
241,2019-3-30,7268,96.39
242,2019-3-31,7578,104.98
243,2019-4-1,4639,77.79
244,2019-4-2,4344,98.18
245,2019-4-3,3990,102.35
246,2019-4-4,16298,109.87
247,2019-4-5,15952,110.01
248,2019-4-6,14817,105.23
249,2019-4-7,6374,82.02
250,2019-4-8,7933,65.47
251,2019-4-9,7898,65.35
252,2019-4-10,6168,64.35
253,2019-4-11,7364,77.4
254,2019-4-12,9205,70.22
255,2019-4-13,14167,64.33
256,2019-4-14,10879,56.73
257,2019-4-15,11745,75.04
258,2019-4-16,14804,68.24
259,2019-4-17,9739,64.89
260,2019-4-18,10225,58.5
261,2019-4-19,5296,56.47
262,2019-4-20,10383,76.76
263,2019-4-21,9281,57.15
264,2019-4-22,10490,46.58
265,2019-4-23,10568,46.29
266,2019-4-24,10082,54.86
267,2019-4-25,10228,51.32
268,2019-4-26,10629,52.13
269,2019-4-27,10682,50.68
270,2019-4-28,12327,45.0
271,2019-4-29,8424,44.11
272,2019-4-30,9228,40.49
273,2019-5-1,7779,49.65
274,2019-5-2,8448,46.4
275,2019-5-3,10129,43.12
