,date,quantity,price
0,2018-8-1,0,0.0
1,2018-8-2,0,0.0
2,2018-8-3,0,0.0
3,2018-8-4,0,0.0
4,2018-8-5,0,0.0
5,2018-8-6,0,0.0
6,2018-8-7,0,0.0
7,2018-8-8,0,0.0
8,2018-8-9,0,0.0
9,2018-8-10,0,0.0
10,2018-8-11,0,0.0
11,2018-8-12,0,0.0
12,2018-8-13,170,2447.5
13,2018-8-14,1306,26.66
14,2018-8-15,3062,39.07
15,2018-8-16,4531,59.69
16,2018-8-17,4464,54.31
17,2018-8-18,7020,38.28
18,2018-8-19,6146,45.67
19,2018-8-20,5822,55.98
20,2018-8-21,5833,40.54
21,2018-8-22,6900,45.93
22,2018-8-23,10301,38.6
23,2018-8-24,13300,33.02
24,2018-8-25,14096,31.18
25,2018-8-26,12997,30.09
26,2018-8-27,12005,27.94
27,2018-8-28,10673,32.65
28,2018-8-29,9036,32.0
29,2018-8-30,0,0.0
30,2018-8-31,4294,32.96
31,2018-9-1,6642,32.01
32,2018-9-2,9490,26.99
33,2018-9-3,9074,28.58
34,2018-9-4,5610,34.51
35,2018-9-5,7562,29.16
36,2018-9-6,4948,30.16
37,2018-9-7,8223,32.26
38,2018-9-8,6440,27.75
39,2018-9-9,6396,33.82
40,2018-9-10,4654,35.33
41,2018-9-11,7760,26.6
42,2018-9-12,8899,32.5
43,2018-9-13,7166,35.88
44,2018-9-14,10350,31.96
45,2018-9-15,10233,30.45
46,2018-9-16,9718,33.89
47,2018-9-17,6831,34.11
48,2018-9-18,7085,49.92
49,2018-9-19,12654,42.89
50,2018-9-20,11955,30.41
51,2018-9-21,17893,31.77
52,2018-9-22,22737,24.83
53,2018-9-23,25594,27.8
54,2018-9-24,26440,27.68
55,2018-9-25,22755,28.22
56,2018-9-26,29540,33.46
57,2018-9-27,32647,27.92
58,2018-9-28,17502,32.11
59,2018-9-29,21865,29.06
60,2018-9-30,21989,29.05
61,2018-10-1,18092,31.52
62,2018-10-2,17257,30.24
63,2018-10-3,15257,30.96
64,2018-10-4,13985,28.97
65,2018-10-5,18197,31.95
66,2018-10-6,27397,37.07
67,2018-10-7,26431,36.65
68,2018-10-8,23435,25.6
69,2018-10-9,23077,25.53
70,2018-10-10,20573,25.86
71,2018-10-11,19563,27.67
72,2018-10-12,19021,63.55
73,2018-10-13,22320,29.32
74,2018-10-14,20279,28.48
75,2018-10-15,19627,34.44
76,2018-10-16,19967,33.01
77,2018-10-17,18191,28.89
78,2018-10-18,21791,29.48
79,2018-10-19,24589,26.68
80,2018-10-20,35609,25.15
81,2018-10-21,35369,25.25
82,2018-10-22,31873,23.06
83,2018-10-23,31719,23.05
84,2018-10-24,12837,25.23
85,2018-10-25,13569,23.94
86,2018-10-26,14013,23.79
87,2018-10-27,14462,18.25
88,2018-10-28,15535,21.36
89,2018-10-29,16020,19.0
90,2018-10-30,12995,21.21
91,2018-10-31,20573,17.31
92,2018-11-1,9166,19.98
93,2018-11-2,9629,27.04
94,2018-11-3,8890,21.91
95,2018-11-4,9090,19.5
96,2018-11-5,7294,30.59
97,2018-11-6,9620,19.34
98,2018-11-7,5165,35.6
99,2018-11-8,15852,37.03
100,2018-11-9,27719,23.0
101,2018-11-10,28952,22.01
102,2018-11-11,22153,19.83
103,2018-11-12,25030,25.31
104,2018-11-13,26393,21.78
105,2018-11-14,24808,24.01
106,2018-11-15,33164,29.69
107,2018-11-16,25220,16.99
108,2018-11-17,20126,18.88
109,2018-11-18,18492,18.43
110,2018-11-19,18232,18.36
111,2018-11-20,16139,15.57
112,2018-11-21,21996,22.1
113,2018-11-22,20644,21.66
114,2018-11-23,18617,16.58
115,2018-11-24,21874,24.62
116,2018-11-25,25158,22.59
117,2018-11-26,27927,22.29
118,2018-11-27,29229,19.92
119,2018-11-28,20584,17.6
120,2018-11-29,22827,16.11
121,2018-11-30,20984,17.94
122,2018-12-1,27938,18.39
123,2018-12-2,31989,18.63
124,2018-12-3,37221,17.8
125,2018-12-4,38889,16.91
126,2018-12-5,33585,16.67
127,2018-12-6,32730,16.85
128,2018-12-7,41772,27.89
129,2018-12-8,40995,22.39
130,2018-12-9,39207,21.33
131,2018-12-10,42928,19.52
132,2018-12-11,43072,28.47
133,2018-12-12,17313,29.22
134,2018-12-13,50809,28.75
135,2018-12-14,50874,24.39
136,2018-12-15,62814,20.57
137,2018-12-16,62977,20.13
138,2018-12-17,50388,18.46
139,2018-12-18,48494,26.6
140,2018-12-19,48106,33.41
141,2018-12-20,47600,18.04
142,2018-12-21,45707,17.73
143,2018-12-22,35460,16.3
144,2018-12-23,34093,15.62
145,2018-12-24,29688,15.15
146,2018-12-25,27853,15.3
147,2018-12-26,23434,18.68
148,2018-12-27,20786,14.98
149,2018-12-28,10518,19.42
150,2018-12-29,33689,16.61
151,2018-12-30,30625,16.64
152,2018-12-31,30011,16.15
153,2019-1-1,29107,15.89
154,2019-1-2,24242,15.57
155,2019-1-3,25618,14.24
156,2019-1-4,16596,14.84
157,2019-1-5,13204,21.31
158,2019-1-6,16418,19.49
159,2019-1-7,13054,19.43
160,2019-1-8,11576,18.82
161,2019-1-9,24925,18.5
162,2019-1-10,23481,16.28
163,2019-1-11,15245,25.64
164,2019-1-12,11983,20.28
165,2019-1-13,15592,20.23
166,2019-1-14,20011,19.11
167,2019-1-15,18801,19.54
168,2019-1-16,15423,32.46
169,2019-1-17,15646,31.58
170,2019-1-18,16782,25.21
171,2019-1-19,15202,24.9
172,2019-1-20,20746,23.21
173,2019-1-21,14474,20.07
174,2019-1-22,15467,32.55
175,2019-1-23,21610,43.59
176,2019-1-24,28710,29.76
177,2019-1-25,28439,23.09
178,2019-1-26,29700,22.86
179,2019-1-27,30696,18.9
180,2019-1-28,33542,16.7
181,2019-1-29,28751,17.34
182,2019-1-30,18349,17.97
183,2019-1-31,12319,24.85
184,2019-2-1,18914,24.52
185,2019-2-2,22042,36.89
186,2019-2-3,21730,34.45
187,2019-2-4,28813,20.83
188,2019-2-5,27374,21.02
189,2019-2-6,19451,23.05
190,2019-2-7,33721,22.9
191,2019-2-8,24073,29.5
192,2019-2-9,25214,28.55
193,2019-2-10,25444,24.18
194,2019-2-11,24341,24.64
195,2019-2-12,25509,24.68
196,2019-2-13,34740,24.66
197,2019-2-14,44581,23.29
198,2019-2-15,55752,21.8
199,2019-2-16,56412,17.9
200,2019-2-17,49446,14.38
201,2019-2-18,23907,18.19
202,2019-2-19,28699,16.69
203,2019-2-20,22605,16.69
204,2019-2-21,19885,16.55
205,2019-2-22,27512,17.09
206,2019-2-23,37204,16.77
207,2019-2-24,33712,14.83
208,2019-2-25,38975,15.29
209,2019-2-26,42987,13.93
210,2019-2-27,47039,12.4
211,2019-2-28,53387,12.3
212,2019-3-1,33900,12.25
213,2019-3-2,35818,12.15
214,2019-3-3,28189,11.93
215,2019-3-4,27819,14.0
216,2019-3-5,26651,16.49
217,2019-3-6,21498,12.05
218,2019-3-7,27419,16.08
219,2019-3-8,48555,15.75
220,2019-3-9,48254,17.65
221,2019-3-10,53492,15.96
222,2019-3-11,53703,14.89
223,2019-3-12,51638,12.89
224,2019-3-13,32917,24.32
225,2019-3-14,44440,24.33
226,2019-3-15,23850,26.71
227,2019-3-16,31707,17.41
228,2019-3-17,28893,20.74
229,2019-3-18,23772,21.4
230,2019-3-19,30555,17.66
231,2019-3-20,30052,17.73
232,2019-3-21,21009,17.36
233,2019-3-22,24744,17.46
234,2019-3-23,24487,17.45
235,2019-3-24,17978,16.38
236,2019-3-25,26300,20.64
237,2019-3-26,22030,16.68
238,2019-3-27,20438,20.04
239,2019-3-28,21249,35.29
240,2019-3-29,28498,27.25
241,2019-3-30,27808,26.71
242,2019-3-31,29748,17.76
243,2019-4-1,27142,17.22
244,2019-4-2,16619,18.51
245,2019-4-3,24274,19.49
246,2019-4-4,22517,20.08
247,2019-4-5,21498,22.74
248,2019-4-6,24833,19.67
249,2019-4-7,29484,13.53
250,2019-4-8,21967,15.88
251,2019-4-9,19865,13.98
252,2019-4-10,20520,13.94
253,2019-4-11,24380,13.76
254,2019-4-12,25541,12.94
255,2019-4-13,28653,12.46
256,2019-4-14,26409,12.25
257,2019-4-15,27315,13.59
258,2019-4-16,27188,12.94
259,2019-4-17,31884,16.16
260,2019-4-18,38953,12.4
261,2019-4-19,38230,14.22
262,2019-4-20,37745,10.94
263,2019-4-21,36714,9.76
264,2019-4-22,37912,9.76
265,2019-4-23,23034,9.8
266,2019-4-24,29852,9.12
267,2019-4-25,26457,7.43
268,2019-4-26,26554,7.74
269,2019-4-27,17675,8.38
270,2019-4-28,20777,6.95
271,2019-4-29,23214,8.67
272,2019-4-30,24386,9.66
273,2019-5-1,23370,9.97
274,2019-5-2,17347,9.99
