,date,quantity,price
0,2018-8-1,0,0.0
1,2018-8-2,0,0.0
2,2018-8-3,0,0.0
3,2018-8-4,0,0.0
4,2018-8-5,0,0.0
5,2018-8-6,0,0.0
6,2018-8-7,0,0.0
7,2018-8-8,0,0.0
8,2018-8-9,0,0.0
9,2018-8-10,0,0.0
10,2018-8-11,0,0.0
11,2018-8-12,0,0.0
12,2018-8-13,132,859.66
13,2018-8-14,1452,25.66
14,2018-8-15,3265,37.4
15,2018-8-16,3381,44.45
16,2018-8-17,3470,32.44
17,2018-8-18,4699,38.31
18,2018-8-19,1917,43.03
19,2018-8-20,4641,28.96
20,2018-8-21,4633,26.07
21,2018-8-22,3075,31.96
22,2018-8-23,7037,35.11
23,2018-8-24,8882,37.16
24,2018-8-25,9264,28.77
25,2018-8-26,6958,27.18
26,2018-8-27,6711,26.1
27,2018-8-28,5820,28.73
28,2018-8-29,4942,27.02
29,2018-8-30,0,0.0
30,2018-8-31,4077,28.25
31,2018-9-1,9501,29.07
32,2018-9-2,10912,26.76
33,2018-9-3,12462,29.67
34,2018-9-4,9909,27.44
35,2018-9-5,10161,26.85
36,2018-9-6,6590,33.64
37,2018-9-7,7353,31.8
38,2018-9-8,8326,31.25
39,2018-9-9,6680,30.28
40,2018-9-10,5756,27.05
41,2018-9-11,7078,24.53
42,2018-9-12,7721,28.42
43,2018-9-13,6922,29.61
44,2018-9-14,12230,22.91
45,2018-9-15,12686,23.03
46,2018-9-16,7298,20.39
47,2018-9-17,10358,28.86
48,2018-9-18,13012,27.4
49,2018-9-19,13389,23.28
50,2018-9-20,12390,27.01
51,2018-9-21,11547,25.51
52,2018-9-22,14217,22.21
53,2018-9-23,13750,21.94
54,2018-9-24,8811,22.52
55,2018-9-25,8252,22.57
56,2018-9-26,11004,19.95
57,2018-9-27,14933,19.75
58,2018-9-28,10327,23.51
59,2018-9-29,12220,24.48
60,2018-9-30,13823,16.07
61,2018-10-1,14814,21.98
62,2018-10-2,10841,20.38
63,2018-10-3,11121,20.32
64,2018-10-4,9003,21.48
65,2018-10-5,10119,22.6
66,2018-10-6,10668,21.87
67,2018-10-7,8036,19.94
68,2018-10-8,9305,17.88
69,2018-10-9,12212,14.61
70,2018-10-10,9482,16.96
71,2018-10-11,8347,16.93
72,2018-10-12,7388,19.99
73,2018-10-13,8421,18.62
74,2018-10-14,8975,16.97
75,2018-10-15,8582,14.3
76,2018-10-16,8066,14.46
77,2018-10-17,8522,13.77
78,2018-10-18,13108,17.41
79,2018-10-19,12405,14.85
80,2018-10-20,21685,13.76
81,2018-10-21,23435,13.88
82,2018-10-22,22697,13.55
83,2018-10-23,18643,14.34
84,2018-10-24,18067,14.82
85,2018-10-25,17526,15.56
86,2018-10-26,23557,15.58
87,2018-10-27,28678,12.54
88,2018-10-28,29221,10.08
89,2018-10-29,19365,10.93
90,2018-10-30,16427,11.98
91,2018-10-31,21176,7.59
92,2018-11-1,15772,15.35
93,2018-11-2,16938,11.99
94,2018-11-3,16059,12.82
95,2018-11-4,13528,12.29
96,2018-11-5,6879,19.6
97,2018-11-6,10369,15.22
98,2018-11-7,10259,15.09
99,2018-11-8,15731,14.95
100,2018-11-9,16292,11.65
101,2018-11-10,16433,11.39
102,2018-11-11,17042,13.59
103,2018-11-12,16458,13.02
104,2018-11-13,20249,14.78
105,2018-11-14,19476,14.74
106,2018-11-15,18101,14.49
107,2018-11-16,15953,15.42
108,2018-11-17,15829,14.95
109,2018-11-18,15773,14.27
110,2018-11-19,15142,15.68
111,2018-11-20,16362,15.65
112,2018-11-21,17968,14.91
113,2018-11-22,18509,14.8
114,2018-11-23,16897,13.74
115,2018-11-24,17385,13.52
116,2018-11-25,14649,12.01
117,2018-11-26,13348,11.24
118,2018-11-27,13704,11.61
119,2018-11-28,12860,11.76
120,2018-11-29,10725,14.59
121,2018-11-30,10472,14.64
122,2018-12-1,12720,11.77
123,2018-12-2,14283,11.6
124,2018-12-3,16926,12.0
125,2018-12-4,16725,12.18
126,2018-12-5,15772,11.48
127,2018-12-6,15688,11.14
128,2018-12-7,18681,15.12
129,2018-12-8,19511,13.94
130,2018-12-9,19920,13.95
131,2018-12-10,20338,11.68
132,2018-12-11,20080,11.1
133,2018-12-12,12650,39.5
134,2018-12-13,18086,28.12
135,2018-12-14,18030,22.58
136,2018-12-15,20973,14.43
137,2018-12-16,17774,12.97
138,2018-12-17,19101,13.24
139,2018-12-18,14367,18.73
140,2018-12-19,12119,19.29
141,2018-12-20,13613,16.68
142,2018-12-21,12698,15.25
143,2018-12-22,13349,12.06
144,2018-12-23,14271,13.61
145,2018-12-24,13246,15.79
146,2018-12-25,10160,33.59
147,2018-12-26,8388,18.56
148,2018-12-27,7459,19.4
149,2018-12-28,7966,15.9
150,2018-12-29,15396,16.1
151,2018-12-30,13404,17.32
152,2018-12-31,14085,15.1
153,2019-1-1,15157,10.69
154,2019-1-2,13107,13.15
155,2019-1-3,11625,15.08
156,2019-1-4,8992,13.11
157,2019-1-5,6086,19.54
158,2019-1-6,8085,17.35
159,2019-1-7,7949,14.08
160,2019-1-8,6638,19.02
161,2019-1-9,10890,21.94
162,2019-1-10,13141,19.06
163,2019-1-11,13679,18.89
164,2019-1-12,10028,15.22
165,2019-1-13,15527,14.64
166,2019-1-14,16764,14.55
167,2019-1-15,15564,14.66
168,2019-1-16,11154,25.31
169,2019-1-17,13991,17.64
170,2019-1-18,15237,16.27
171,2019-1-19,10460,15.53
172,2019-1-20,12093,18.99
173,2019-1-21,12531,17.63
174,2019-1-22,10467,76.02
175,2019-1-23,17223,35.6
176,2019-1-24,27472,28.69
177,2019-1-25,25493,20.79
178,2019-1-26,20310,17.42
179,2019-1-27,21069,16.33
180,2019-1-28,23080,16.85
181,2019-1-29,21837,16.73
182,2019-1-30,20544,21.77
183,2019-1-31,20683,21.18
184,2019-2-1,17847,18.65
185,2019-2-2,18140,16.84
186,2019-2-3,11171,19.48
187,2019-2-4,15945,16.39
188,2019-2-5,13377,16.2
189,2019-2-6,11752,40.79
190,2019-2-7,17677,20.31
191,2019-2-8,16049,19.91
192,2019-2-9,17239,17.65
193,2019-2-10,17995,15.55
194,2019-2-11,14775,17.32
195,2019-2-12,17054,24.58
196,2019-2-13,18034,24.35
197,2019-2-14,22229,18.6
198,2019-2-15,24214,17.8
199,2019-2-16,20379,16.13
200,2019-2-17,20815,16.36
201,2019-2-18,18156,15.93
202,2019-2-19,18303,15.43
203,2019-2-20,18852,15.18
204,2019-2-21,14313,15.07
205,2019-2-22,17274,14.84
206,2019-2-23,19055,14.19
207,2019-2-24,19221,14.12
208,2019-2-25,17612,13.72
209,2019-2-26,21246,15.62
210,2019-2-27,23492,13.61
211,2019-2-28,16000,14.02
212,2019-3-1,17357,21.13
213,2019-3-2,18087,15.56
214,2019-3-3,12300,16.04
215,2019-3-4,17908,15.86
216,2019-3-5,15565,15.75
217,2019-3-6,9507,14.53
218,2019-3-7,11750,35.21
219,2019-3-8,18947,21.81
220,2019-3-9,18916,21.81
221,2019-3-10,22430,17.32
222,2019-3-11,27053,15.62
223,2019-3-12,24612,13.9
224,2019-3-13,16093,28.72
225,2019-3-14,16266,25.7
226,2019-3-15,14531,30.71
227,2019-3-16,12604,20.56
228,2019-3-17,12978,39.23
229,2019-3-18,15515,23.71
230,2019-3-19,21661,18.49
231,2019-3-20,17524,18.1
232,2019-3-21,15116,23.43
233,2019-3-22,13328,19.65
234,2019-3-23,13605,17.73
235,2019-3-24,17130,18.14
236,2019-3-25,17400,21.79
237,2019-3-26,16262,19.02
238,2019-3-27,16152,17.56
239,2019-3-28,15446,19.15
240,2019-3-29,20690,16.99
241,2019-3-30,15007,18.77
242,2019-3-31,17369,15.08
243,2019-4-1,22708,12.26
244,2019-4-2,11887,19.39
245,2019-4-3,18357,16.94
246,2019-4-4,12685,15.77
247,2019-4-5,12525,15.8
248,2019-4-6,16305,17.8
249,2019-4-7,16864,17.68
250,2019-4-8,16103,13.05
251,2019-4-9,15177,13.81
252,2019-4-10,15361,14.15
253,2019-4-11,14219,10.93
254,2019-4-12,15289,12.89
255,2019-4-13,15235,13.5
256,2019-4-14,14622,13.53
257,2019-4-15,16781,19.89
258,2019-4-16,16522,14.33
259,2019-4-17,11450,17.98
260,2019-4-18,16531,14.52
261,2019-4-19,12276,21.31
262,2019-4-20,11187,20.39
263,2019-4-21,16120,16.94
264,2019-4-22,15789,16.33
265,2019-4-23,18400,11.96
266,2019-4-24,20128,11.51
267,2019-4-25,20035,15.34
268,2019-4-26,20365,13.17
269,2019-4-27,23148,12.32
270,2019-4-28,20202,10.48
271,2019-4-29,24563,9.96
272,2019-4-30,21776,10.26
273,2019-5-1,18671,12.7
274,2019-5-2,20340,12.02
