,date,quantity,price
0,2018-8-1,0,0.0
1,2018-8-2,0,0.0
2,2018-8-3,0,0.0
3,2018-8-4,0,0.0
4,2018-8-5,0,0.0
5,2018-8-6,0,0.0
6,2018-8-7,0,0.0
7,2018-8-8,0,0.0
8,2018-8-9,0,0.0
9,2018-8-10,0,0.0
10,2018-8-11,0,0.0
11,2018-8-12,0,0.0
12,2018-8-13,318,2392.21
13,2018-8-14,2202,30.75
14,2018-8-15,3029,39.9
15,2018-8-16,3259,34.42
16,2018-8-17,4674,29.18
17,2018-8-18,6169,32.96
18,2018-8-19,4470,36.75
19,2018-8-20,5854,55.27
20,2018-8-21,5866,40.13
21,2018-8-22,6736,42.89
22,2018-8-23,10773,36.4
23,2018-8-24,12029,30.74
24,2018-8-25,12540,27.62
25,2018-8-26,11030,24.26
26,2018-8-27,9437,27.03
27,2018-8-28,8984,27.72
28,2018-8-29,6925,25.81
29,2018-8-30,0,0.0
30,2018-8-31,4436,33.33
31,2018-9-1,7649,27.72
32,2018-9-2,9774,26.29
33,2018-9-3,7732,27.73
34,2018-9-4,4988,33.01
35,2018-9-5,4585,34.6
36,2018-9-6,4992,47.51
37,2018-9-7,8830,31.76
38,2018-9-8,7284,29.23
39,2018-9-9,6176,33.89
40,2018-9-10,5601,27.04
41,2018-9-11,6856,32.26
42,2018-9-12,6716,33.97
43,2018-9-13,6443,33.49
44,2018-9-14,7812,35.19
45,2018-9-15,5017,38.68
46,2018-9-16,4928,30.69
47,2018-9-17,6915,30.31
48,2018-9-18,7327,32.57
49,2018-9-19,6384,29.81
50,2018-9-20,7550,34.74
51,2018-9-21,10752,32.1
52,2018-9-22,11021,23.39
53,2018-9-23,10018,24.42
54,2018-9-24,9666,24.21
55,2018-9-25,7090,19.87
56,2018-9-26,7026,33.13
57,2018-9-27,8672,29.69
58,2018-9-28,7420,26.61
59,2018-9-29,9935,28.59
60,2018-9-30,10080,28.95
61,2018-10-1,6803,30.28
62,2018-10-2,7687,39.62
63,2018-10-3,5359,44.39
64,2018-10-4,7445,33.82
65,2018-10-5,9894,36.74
66,2018-10-6,14083,37.26
67,2018-10-7,16793,33.18
68,2018-10-8,17583,28.39
69,2018-10-9,17505,28.4
70,2018-10-10,9506,31.35
71,2018-10-11,8436,32.47
72,2018-10-12,10000,25.57
73,2018-10-13,11110,24.64
74,2018-10-14,10381,23.79
75,2018-10-15,8853,28.41
76,2018-10-16,9813,34.24
77,2018-10-17,10807,27.65
78,2018-10-18,12709,40.63
79,2018-10-19,10816,33.86
80,2018-10-20,12604,36.44
81,2018-10-21,10739,36.67
82,2018-10-22,12530,37.58
83,2018-10-23,15498,30.76
84,2018-10-24,7730,32.32
85,2018-10-25,3228,61.37
86,2018-10-26,5450,48.09
87,2018-10-27,6087,45.7
88,2018-10-28,6015,37.26
89,2018-10-29,5826,30.0
90,2018-10-30,8942,41.63
91,2018-10-31,10822,32.42
92,2018-11-1,3893,34.99
93,2018-11-2,6365,36.71
94,2018-11-3,8060,42.97
95,2018-11-4,11932,34.12
96,2018-11-5,9615,37.4
97,2018-11-6,12273,43.89
98,2018-11-7,12233,38.58
99,2018-11-8,16557,44.36
100,2018-11-9,16994,43.04
101,2018-11-10,19169,38.99
102,2018-11-11,15179,31.75
103,2018-11-12,15314,27.14
104,2018-11-13,14245,27.14
105,2018-11-14,14500,29.5
106,2018-11-15,16951,29.22
107,2018-11-16,12541,28.92
108,2018-11-17,13525,25.75
109,2018-11-18,21983,24.4
110,2018-11-19,20677,23.01
111,2018-11-20,16410,19.76
112,2018-11-21,25128,22.15
113,2018-11-22,18943,22.5
114,2018-11-23,14605,21.24
115,2018-11-24,16951,20.85
116,2018-11-25,17503,19.28
117,2018-11-26,13176,19.82
118,2018-11-27,14931,19.56
119,2018-11-28,13543,19.58
120,2018-11-29,12067,20.23
121,2018-11-30,9308,24.62
122,2018-12-1,11763,18.98
123,2018-12-2,10796,18.54
124,2018-12-3,12253,22.09
125,2018-12-4,10354,24.38
126,2018-12-5,10033,23.47
127,2018-12-6,7534,20.62
128,2018-12-7,10036,32.81
129,2018-12-8,9778,30.16
130,2018-12-9,8814,29.68
131,2018-12-10,9233,21.33
132,2018-12-11,8826,31.63
133,2018-12-12,8420,33.97
134,2018-12-13,10651,32.87
135,2018-12-14,6912,32.83
136,2018-12-15,12326,35.36
137,2018-12-16,15049,34.0
138,2018-12-17,12061,29.04
139,2018-12-18,10390,29.81
140,2018-12-19,8200,45.66
141,2018-12-20,8660,29.13
142,2018-12-21,7813,27.14
143,2018-12-22,7561,19.34
144,2018-12-23,10422,26.76
145,2018-12-24,10528,26.46
146,2018-12-25,5924,24.72
147,2018-12-26,7541,24.33
148,2018-12-27,5990,22.34
149,2018-12-28,11925,29.09
150,2018-12-29,26670,26.09
151,2018-12-30,26265,25.83
152,2018-12-31,18681,22.31
153,2019-1-1,18498,22.3
154,2019-1-2,13961,21.37
155,2019-1-3,17335,20.84
156,2019-1-4,14779,23.95
157,2019-1-5,14621,22.7
158,2019-1-6,16711,20.39
159,2019-1-7,13685,24.54
160,2019-1-8,12252,29.31
161,2019-1-9,12098,28.21
162,2019-1-10,13037,26.05
163,2019-1-11,11210,21.94
164,2019-1-12,11135,48.61
165,2019-1-13,13527,56.93
166,2019-1-14,19646,37.01
167,2019-1-15,17695,37.26
168,2019-1-16,7930,28.96
169,2019-1-17,7362,28.02
170,2019-1-18,15287,36.38
171,2019-1-19,19637,27.64
172,2019-1-20,25270,26.48
173,2019-1-21,14907,34.16
174,2019-1-22,19043,35.65
175,2019-1-23,21145,41.87
176,2019-1-24,23281,38.05
177,2019-1-25,18869,26.66
178,2019-1-26,24438,27.73
179,2019-1-27,26278,26.28
180,2019-1-28,25072,29.2
181,2019-1-29,20052,51.04
182,2019-1-30,20551,38.77
183,2019-1-31,17667,55.67
184,2019-2-1,24217,41.68
185,2019-2-2,23976,42.18
186,2019-2-3,22146,51.59
187,2019-2-4,30367,41.35
188,2019-2-5,27470,43.06
189,2019-2-6,28235,38.13
190,2019-2-7,29145,36.39
191,2019-2-8,24025,55.81
192,2019-2-9,30357,35.79
193,2019-2-10,29902,36.26
194,2019-2-11,9700,34.02
195,2019-2-12,9081,32.86
196,2019-2-13,15310,33.89
197,2019-2-14,16980,30.94
198,2019-2-15,22601,57.82
199,2019-2-16,32408,36.25
200,2019-2-17,27219,35.73
201,2019-2-18,12985,39.96
202,2019-2-19,17043,33.89
203,2019-2-20,15399,33.64
204,2019-2-21,11401,36.86
205,2019-2-22,17148,34.6
206,2019-2-23,28409,29.7
207,2019-2-24,19487,28.99
208,2019-2-25,18065,29.18
209,2019-2-26,25149,27.74
210,2019-2-27,28507,27.4
211,2019-2-28,30892,27.19
212,2019-3-1,25174,32.47
213,2019-3-2,27156,32.33
214,2019-3-3,24317,26.42
215,2019-3-4,21342,23.9
216,2019-3-5,14775,28.36
217,2019-3-6,17642,29.36
218,2019-3-7,15771,27.72
219,2019-3-8,22849,29.91
220,2019-3-9,22524,29.55
221,2019-3-10,33487,24.79
222,2019-3-11,28694,23.64
223,2019-3-12,23172,21.85
224,2019-3-13,26615,39.23
225,2019-3-14,23117,38.79
226,2019-3-15,13324,59.15
227,2019-3-16,17947,34.93
228,2019-3-17,17338,35.15
229,2019-3-18,17593,56.08
230,2019-3-19,18523,42.19
231,2019-3-20,8892,36.22
232,2019-3-21,7748,39.7
233,2019-3-22,19059,30.36
234,2019-3-23,21414,34.22
235,2019-3-24,23876,33.93
236,2019-3-25,25885,31.47
237,2019-3-26,27493,28.12
238,2019-3-27,30037,28.8
239,2019-3-28,17987,30.37
240,2019-3-29,28004,27.55
241,2019-3-30,35225,27.01
242,2019-3-31,40288,26.74
243,2019-4-1,28196,24.9
244,2019-4-2,21735,25.37
245,2019-4-3,22350,24.72
246,2019-4-4,28963,26.76
247,2019-4-5,29309,27.68
248,2019-4-6,34295,22.74
249,2019-4-7,21307,21.95
250,2019-4-8,14240,19.86
251,2019-4-9,15958,22.71
252,2019-4-10,15863,20.43
253,2019-4-11,13705,21.14
254,2019-4-12,26195,20.97
255,2019-4-13,27789,19.6
256,2019-4-14,28947,16.31
257,2019-4-15,21928,22.45
258,2019-4-16,21913,24.2
259,2019-4-17,13747,22.92
260,2019-4-18,18918,20.39
261,2019-4-19,10619,20.89
262,2019-4-20,13360,16.79
263,2019-4-21,16128,26.63
264,2019-4-22,10668,16.32
265,2019-4-23,13356,16.66
266,2019-4-24,12491,16.82
267,2019-4-25,12937,19.12
268,2019-4-26,29227,19.02
269,2019-4-27,29553,18.45
270,2019-4-28,19800,41.98
271,2019-4-29,16297,33.44
272,2019-4-30,24350,19.12
273,2019-5-1,15267,18.17
274,2019-5-2,8011,18.28
