,date,quantity,price
0,2018-8-1,0,0.0
1,2018-8-2,0,0.0
2,2018-8-3,0,0.0
3,2018-8-4,0,0.0
4,2018-8-5,0,0.0
5,2018-8-6,0,0.0
6,2018-8-7,0,0.0
7,2018-8-8,0,0.0
8,2018-8-9,0,0.0
9,2018-8-10,0,0.0
10,2018-8-11,0,0.0
11,2018-8-12,0,0.0
12,2018-8-13,164,1106.96
13,2018-8-14,1787,21.81
14,2018-8-15,3547,33.88
15,2018-8-16,4526,40.85
16,2018-8-17,4081,35.25
17,2018-8-18,4840,38.3
18,2018-8-19,2191,31.14
19,2018-8-20,6041,34.03
20,2018-8-21,8314,37.62
21,2018-8-22,6250,37.63
22,2018-8-23,7949,37.29
23,2018-8-24,9792,31.92
24,2018-8-25,8283,27.04
25,2018-8-26,10760,25.12
26,2018-8-27,9475,27.87
27,2018-8-28,10888,27.31
28,2018-8-29,6821,25.7
29,2018-8-30,0,0.0
30,2018-8-31,5260,34.07
31,2018-9-1,9991,28.96
32,2018-9-2,10747,26.47
33,2018-9-3,8655,28.4
34,2018-9-4,5631,30.43
35,2018-9-5,7424,31.86
36,2018-9-6,6991,40.15
37,2018-9-7,11374,31.66
38,2018-9-8,9507,28.5
39,2018-9-9,8275,28.54
40,2018-9-10,8275,30.02
41,2018-9-11,10417,23.78
42,2018-9-12,11510,24.04
43,2018-9-13,9280,33.18
44,2018-9-14,15234,39.6
45,2018-9-15,16009,32.63
46,2018-9-16,7702,24.49
47,2018-9-17,6641,28.55
48,2018-9-18,7217,23.24
49,2018-9-19,8136,24.67
50,2018-9-20,9267,25.49
51,2018-9-21,8073,24.76
52,2018-9-22,12265,21.52
53,2018-9-23,15513,20.03
54,2018-9-24,11496,21.82
55,2018-9-25,8407,23.61
56,2018-9-26,12921,22.6
57,2018-9-27,13229,21.01
58,2018-9-28,9484,21.24
59,2018-9-29,11235,21.21
60,2018-9-30,13057,19.71
61,2018-10-1,11963,19.72
62,2018-10-2,10480,18.74
63,2018-10-3,10030,19.95
64,2018-10-4,10946,17.78
65,2018-10-5,13596,15.84
66,2018-10-6,14534,15.66
67,2018-10-7,12528,15.65
68,2018-10-8,14222,14.58
69,2018-10-9,14956,14.62
70,2018-10-10,14895,14.69
71,2018-10-11,9104,19.3
72,2018-10-12,14118,20.84
73,2018-10-13,15616,18.59
74,2018-10-14,12853,16.12
75,2018-10-15,10728,16.79
76,2018-10-16,15366,14.39
77,2018-10-17,15806,13.85
78,2018-10-18,18693,12.55
79,2018-10-19,15354,12.7
80,2018-10-20,25839,10.68
81,2018-10-21,24945,9.6
82,2018-10-22,12528,10.69
83,2018-10-23,12574,10.18
84,2018-10-24,13356,14.69
85,2018-10-25,12967,15.79
86,2018-10-26,16154,15.89
87,2018-10-27,19233,12.51
88,2018-10-28,20531,11.34
89,2018-10-29,13804,11.61
90,2018-10-30,12427,9.97
91,2018-10-31,14506,9.92
92,2018-11-1,10927,12.7
93,2018-11-2,9612,16.75
94,2018-11-3,13144,15.03
95,2018-11-4,12805,15.07
96,2018-11-5,9228,12.76
97,2018-11-6,10762,16.74
98,2018-11-7,11821,16.71
99,2018-11-8,12230,13.5
100,2018-11-9,15025,12.94
101,2018-11-10,14875,13.01
102,2018-11-11,11772,12.26
103,2018-11-12,12491,10.94
104,2018-11-13,11894,11.09
105,2018-11-14,9755,22.5
106,2018-11-15,10124,15.0
107,2018-11-16,9478,21.09
108,2018-11-17,8976,17.89
109,2018-11-18,11181,13.13
110,2018-11-19,11277,13.09
111,2018-11-20,12013,12.94
112,2018-11-21,10269,14.16
113,2018-11-22,8465,13.67
114,2018-11-23,8939,12.06
115,2018-11-24,9427,13.95
116,2018-11-25,10398,13.76
117,2018-11-26,9799,20.38
118,2018-11-27,11024,18.56
119,2018-11-28,7439,14.81
120,2018-11-29,11775,12.9
121,2018-11-30,11721,12.56
122,2018-12-1,13325,12.02
123,2018-12-2,14211,12.09
124,2018-12-3,16696,11.82
125,2018-12-4,19718,10.82
126,2018-12-5,18754,10.61
127,2018-12-6,10475,10.31
128,2018-12-7,11057,10.48
129,2018-12-8,10191,13.37
130,2018-12-9,12181,11.76
131,2018-12-10,15649,11.22
132,2018-12-11,11801,13.08
133,2018-12-12,8339,11.99
134,2018-12-13,11511,17.29
135,2018-12-14,12567,12.46
136,2018-12-15,16056,12.1
137,2018-12-16,10348,10.91
138,2018-12-17,11675,15.96
139,2018-12-18,11112,18.33
140,2018-12-19,9009,17.52
141,2018-12-20,14342,16.24
142,2018-12-21,15654,12.8
143,2018-12-22,12723,12.6
144,2018-12-23,13717,15.98
145,2018-12-24,13699,15.16
146,2018-12-25,9429,18.9
147,2018-12-26,9519,11.99
148,2018-12-27,4927,15.88
149,2018-12-28,12382,15.81
150,2018-12-29,19915,15.58
151,2018-12-30,18958,15.65
152,2018-12-31,18179,18.13
153,2019-1-1,18945,15.14
154,2019-1-2,14934,13.33
155,2019-1-3,20310,13.13
156,2019-1-4,17004,12.63
157,2019-1-5,12191,13.08
158,2019-1-6,13548,13.44
159,2019-1-7,11402,13.81
160,2019-1-8,12601,11.97
161,2019-1-9,13177,13.04
162,2019-1-10,14029,11.67
163,2019-1-11,10439,11.92
164,2019-1-12,7900,12.36
165,2019-1-13,9347,14.65
166,2019-1-14,9588,14.51
167,2019-1-15,9582,15.47
168,2019-1-16,6200,13.18
169,2019-1-17,8401,17.94
170,2019-1-18,8916,17.29
171,2019-1-19,13189,17.62
172,2019-1-20,14674,16.21
173,2019-1-21,12030,16.6
174,2019-1-22,10928,17.01
175,2019-1-23,17913,22.85
176,2019-1-24,22275,17.2
177,2019-1-25,20689,18.54
178,2019-1-26,21884,13.84
179,2019-1-27,26886,13.2
180,2019-1-28,14656,15.79
181,2019-1-29,15029,15.16
182,2019-1-30,14728,18.96
183,2019-1-31,12802,18.22
184,2019-2-1,14734,18.72
185,2019-2-2,15241,17.18
186,2019-2-3,13476,19.78
187,2019-2-4,16290,16.95
188,2019-2-5,14467,16.63
189,2019-2-6,17051,14.48
190,2019-2-7,22903,13.78
191,2019-2-8,22438,13.96
192,2019-2-9,17922,18.3
193,2019-2-10,18883,14.92
194,2019-2-11,14714,14.92
195,2019-2-12,14816,17.33
196,2019-2-13,20045,15.92
197,2019-2-14,22204,14.38
198,2019-2-15,17544,13.55
199,2019-2-16,13252,11.6
200,2019-2-17,14333,17.8
201,2019-2-18,15552,14.86
202,2019-2-19,16093,13.91
203,2019-2-20,20478,13.4
204,2019-2-21,17843,12.76
205,2019-2-22,19254,13.49
206,2019-2-23,15254,11.52
207,2019-2-24,11526,13.63
208,2019-2-25,18335,12.21
209,2019-2-26,20194,11.09
210,2019-2-27,25867,10.21
211,2019-2-28,28630,10.88
212,2019-3-1,22009,10.7
213,2019-3-2,16309,10.57
214,2019-3-3,12476,12.03
215,2019-3-4,15358,14.9
216,2019-3-5,15405,13.31
217,2019-3-6,11019,11.84
218,2019-3-7,13365,19.85
219,2019-3-8,27617,14.05
220,2019-3-9,29809,12.87
221,2019-3-10,30211,12.24
222,2019-3-11,21057,10.74
223,2019-3-12,19052,10.21
224,2019-3-13,10403,17.54
225,2019-3-14,11515,71.52
226,2019-3-15,14863,57.46
227,2019-3-16,12770,28.9
228,2019-3-17,11537,29.32
229,2019-3-18,16823,14.89
230,2019-3-19,20091,17.86
231,2019-3-20,17845,21.18
232,2019-3-21,19019,16.16
233,2019-3-22,15633,15.03
234,2019-3-23,13373,16.51
235,2019-3-24,18451,17.67
236,2019-3-25,17622,19.99
237,2019-3-26,17858,14.88
238,2019-3-27,14752,15.86
239,2019-3-28,13816,14.87
240,2019-3-29,19189,14.35
241,2019-3-30,16950,14.29
242,2019-3-31,18880,13.64
243,2019-4-1,18440,13.9
244,2019-4-2,12173,16.82
245,2019-4-3,14444,13.55
246,2019-4-4,10614,12.5
247,2019-4-5,8388,13.08
248,2019-4-6,8340,13.34
249,2019-4-7,10592,12.2
250,2019-4-8,8206,13.04
251,2019-4-9,8963,11.58
252,2019-4-10,8728,13.08
253,2019-4-11,8174,12.42
254,2019-4-12,9575,12.08
255,2019-4-13,9592,12.85
256,2019-4-14,8307,12.75
257,2019-4-15,9182,10.54
258,2019-4-16,9076,16.54
259,2019-4-17,10664,13.5
260,2019-4-18,15040,12.58
261,2019-4-19,11070,10.94
262,2019-4-20,7953,11.75
263,2019-4-21,9817,10.23
264,2019-4-22,10250,9.2
265,2019-4-23,13008,9.22
266,2019-4-24,15334,8.66
267,2019-4-25,15194,8.19
268,2019-4-26,13744,8.09
269,2019-4-27,11368,7.73
270,2019-4-28,12305,7.56
271,2019-4-29,10224,7.29
272,2019-4-30,10080,8.68
273,2019-5-1,12080,8.33
274,2019-5-2,9454,7.65
